2026-04-14 18:32:09,617 | WARNING | loader | Falha ao inserir extra 'url_pagina' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:09,814 | WARNING | loader | Falha ao inserir extra 'url_chamada' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:10,029 | WARNING | loader | Falha ao inserir extra 'publicado_em' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:10,277 | WARNING | loader | Falha ao inserir extra 'atualizado_em' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:10,495 | WARNING | loader | Falha ao inserir extra 'inscricoes_inicio' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:10,702 | WARNING | loader | Falha ao inserir extra 'inscricoes_fim' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:10,917 | WARNING | loader | Falha ao inserir extra 'situacao' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:11,126 | WARNING | loader | Falha ao inserir extra 'qtd_anexos' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:11,354 | WARNING | loader | Falha ao inserir extra 'programa_identificado' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:11,545 | WARNING | loader | Falha ao inserir extra 'tipo_recurso' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:12,172 | WARNING | loader | Falha ao inserir anexo do edital 689: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:12,383 | WARNING | loader | Falha ao inserir extra 'url_pagina' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:12,596 | WARNING | loader | Falha ao inserir extra 'url_chamada' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:12,814 | WARNING | loader | Falha ao inserir extra 'publicado_em' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:13,005 | WARNING | loader | Falha ao inserir extra 'atualizado_em' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
